"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,0,0,68004,180964,0,0,0,0,0,0,0,47712,0,96664,0,0,0,0,0,0
"82",143162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117618,219204,0,0,0,0,0,0,130904,0,0
"83",0,0,0,0,0,12370,160162,0,0,0,0,0,0,0,0,0,164238,0,169836,0,359030,0,0,0,0,0,0,0,106560,0,104982,90572,0,0,0
"84",36494,0,0,0,0,0,0,150664,0,0,1331998,362030,0,223890,0,0,0,0,201902,0,0,0,0,0,0,0,476082,0,0,0,0,0,450626,67194,0
"85",0,0,0,0,0,17278,3010,0,4338,0,0,0,0,0,0,0,4794,103528,0,0,16936,0,0,0,0,0,0,15636,0,535264,0,0,25814,0,0
"86",0,0,0,0,0,309984,0,0,0,21544,0,14112,29246,0,0,7698,165346,0,24056,0,0,0,0,0,9442,2090834,268594,0,0,0,125902,0,0,0,0
"87",0,70380,0,0,0,0,49350,0,0,0,0,0,0,0,27236,0,0,0,67944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359392,0
"88",0,0,3288,126876,16308,0,442,0,0,0,4774,0,4462,0,0,0,0,0,0,0,0,1124,0,0,5560,0,0,0,0,0,0,32578,0,0,0
"89",0,0,0,0,0,0,0,0,0,0,0,57960,0,0,0,0,0,0,0,0,0,0,0,0,5222,0,0,0,0,0,0,34980,32106,0,0
"90",0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,302,0,0,0,226384,0,0,0,0,0,0
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116038,0,0,0,114330,3432,0,0,3508,0,0,0,0,15424,0,0,0
"92",0,0,0,10686,0,306,0,16530,0,0,3366,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,1672
"93",0,0,0,0,0,0,0,0,0,674,0,594,0,0,0,0,0,0,0,0,0,0,0,0,95045.9999999999,0,0,0,0,0,0,0,0,1240,0
"94",43294,0,0,0,0,0,0,8382,0,0,0,0,0,1648,0,0,0,0,0,0,0,0,0,742,0,52940,0,113418,0,0,0,1734,0,0,55438.0000000001
"95",0,0,546184,0,0,0,0,0,217182,0,1723188,0,0,0,0,0,0,17088,1663702,0,0,0,980,0,601242,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,768,0,0,0,0,0,0,0,6400,0,0,1206,0,0,0,0,0,34628,0,11350,0,0,0,11942,505154,88130,0,0,15598
"97",0,0,0,0,0,130102,0,0,0,0,0,0,0,0,0,0,0,0,4418,0,0,0,133684,0,2772,0,0,3858,13734,3676,0,0,0,8684,0
"98",0,0,0,0,278,6172,12062,11374,18028,9442,0,988,5832,31960,19666,0,5422,0,4278,21022,12148,23510,0,4980,5652,5954,41192,0,1000,23006,0,6328,0,5986,510
"99",1864,0,0,0,0,0,0,0,0,0,0,0,2172,0,0,0,0,0,0,0,0,2004,0,0,6028,0,0,0,0,0,0,0,692,0,1720
"100",0,0,470,0,0,0,0,0,0,5852,0,0,0,0,0,9306,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,4274,4004,2238,0
"101",0,0,0,37318,0,0,0,0,22328,0,26420,1010,0,0,0,0,1570,0,0,4144,0,0,13464,0,0,0,0,0,0,0,0,0,0,0,0
"102",744,0,482,0,0,0,0,0,0,0,0,0,0,0,0,29588,0,0,0,0,2176,0,0,8092,0,0,0,0,0,0,0,5048,0,0,0
"103",0,0,0,0,9894,0,0,0,0,0,0,8072,0,9026,0,0,0,0,0,0,0,0,0,0,7306,0,10516,0,0,0,0,180,8092,0,10544
"104",0,0,0,222,0,0,0,354,0,430,0,204,0,0,0,0,0,0,0,0,248,0,0,0,0,814,3862,124,0,894,0,0,0,0,0
"105",0,0,0,0,0,11778,0,0,0,0,404,0,0,0,50852,0,0,0,0,3618,0,0,0,0,0,0,0,226322,0,0,0,126,0,0,0
"106",11178,0,2840,12872,5450,372,141456,4126,0,1638,2780,448,3558,0,0,0,1982,58260,21000,0,0,0,4552,8746,592,42446,0,14054,0,2158,300788,0,52986.0000000001,0,42960
"107",0,438,0,0,0,25966,0,0,14508,25912,0,0,2396,32268,406,0,1363468,0,88682,0,69585.9999999999,0,0,0,0,0,0,6424,0,449212,0,0,0,0,0
"108",3402,0,0,0,0,0,776,0,7132,0,0,0,0,0,0,0,0,0,0,0,6066,0,7194,0,0,0,0,0,0,0,0,0,0,0,1508
"109",34276,125806,126136,63642,1800,296738,148310,0,434,190986,7316,2770,0,0,70774,2720,117670,3986,64802,305988,118038,1818,0,298484,199892,3488,120460,2430,309246,45284,0,0,0,36084,834
"110",0,0,1571790,2538704,0,138610,0,0,0,0,0,735728.000000001,0,0,0,0,0,0,0,1125980,0,0,0,0,1208,0,0,0,161556,963876,0,0,0,0,0
"111",0,0,0,0,40650,41186,0,63480,0,0,386970,2539156,0,221700,0,0,0,0,0,0,0,70144.0000000001,0,0,0,0,929454,390544,962208,0,0,3323010,0,0,0
"112",0,0,0,0,0,3478,0,6844,0,0,0,0,0,0,0,4226,0,20664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,24392,942,0,0,0,0,0,0,0,0,0,896,582,10370,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0
"114",0,0,0,28384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,4886,4360,0,0,0,0
"115",22126,0,0,0,0,0,21918,0,0,8542,0,0,0,14278,16438,0,0,0,0,0,0,45400,0,0,0,0,0,0,0,0,3578,122444,0,0,0
"116",0,43282,0,0,39846,0,0,0,0,1062,378,18806,0,0,0,0,0,0,0,0,0,4972,0,0,0,0,30870,0,5320,42800,0,1984,0,22710,0
"117",51312,0,0,0,80993.9999999999,0,0,6648,152884,2236,0,47540,329246,66438,5300,18656,0,162894,0,48156,0,98540,0,18358,70777.9999999999,0,36334,48408,5286,22882,116892,0,74610.0000000001,1246,18216
"118",1082,0,0,0,0,37128,0,62238,0,14112,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,40198,0,0,0,109214,18218,0,0,0,0
