"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"87",0,0,0,0,0,0,0,147446,0,0,0,36526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100908,0,0,0,0,0,0,0,0
"88",0,37176,0,0,0,61253.9999999999,0,0,0,0,3598,97934.0000000001,0,17694,0,0,0,217474,0,0,0,77490.0000000001,0,0,11188,0,0,0,78650,0,0,58322.0000000001,0,0,0
"89",0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,223854,0,5584,82162,0,281522,0,119330,0,441070,0,978660.000000001,0
"90",0,0,0,0,0,17302,7054,0,0,0,0,0,0,91639.9999999999,32210,0,0,0,0,0,0,120208,49900,0,0,0,0,0,0,0,0,0,0,0,49822
"91",4354,6834,35970,17118,0,0,0,39432,0,1470,15716,0,16458,228,10260,1142,1196,0,25272,0,0,444,6268,856,7204,13032,13682,14280,144256,11214,3366,0,3588,14554,12118
"92",11388,0,0,2774,198448,0,0,0,0,0,11190,0,22212,0,0,20886,0,0,0,0,0,9502,7380,0,0,0,0,2966,0,16568,0,0,0,2160,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73555.9999999999,3340,0,0,0,0,88924,10000,0,0,0,0,0,0,0,0,58934,0,8316,0
"94",0,0,0,0,697899.999999999,0,0,0,0,0,0,0,52906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024832
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,1786,0,0,512,0,0,0,0,0,0
"96",7026,0,0,7280,11136,0,0,0,0,0,0,0,0,0,0,10832,0,34634,0,0,0,0,0,0,1142,0,0,0,0,0,55107.9999999999,0,0,31100,19054
"97",140,5832,3720,202,7180,5422,2788,10692,4648,21022,16102,0,23956,0,21298,0,0,19666,134,0,5702,21192,4760,10280,11374,0,0,5954,0,0,264882,3532,0,6172,14294
"98",2382,0,0,1758,0,0,0,0,0,0,0,3150,0,3852,962,0,0,0,0,0,0,0,0,0,0,0,0,8486,0,0,0,0,0,0,0
"99",0,0,37318,0,0,0,0,0,0,0,7640,0,83214,0,0,0,0,0,11610,0,0,0,0,13464,0,0,7698,0,0,0,28862,0,12790,0,0
"100",584,528,762,0,0,15116,1672,0,1394,360,5508,2860,0,12208,9978,0,4640,12508,10544,5022,8072,76591.9999999999,5246,0,4504,0,46246,2232,0,14272,0,4976,8110,0,660
"101",50,604,0,724,894,200,1842,502,894,608,4038,3458,0,0,3862,2646,0,456,808,634,698,650,354,1142,776,0,0,1876,2256,706,0,222,784,0,124
"102",0,0,0,11778,0,113866,0,164884,0,0,146708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37960,0,31130,0
"103",0,0,0,0,10366,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,6178,0,0,2910,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25258,0,0,0,0,0,0,0,0,3440,0,0,0,4142,0,0,0,0
"105",0,0,0,0,0,0,0,232888,0,3488,0,661440,0,0,0,0,0,0,0,0,0,0,1872,0,0,71039.9999999999,45046,0,0,0,0,0,0,7166,0
"106",0,0,9378,0,0,8022,0,0,0,2014460,963876,0,0,25954,0,0,0,1141828,149752,14308,41596,1296336,0,317046,0,1294906,1125980,0,2779842,1305998,0,594834,17266,0,0
"107",0,0,228362,0,10528,0,0,0,0,0,0,0,208596,0,0,448096,0,0,0,0,0,0,0,0,0,0,0,396742,0,0,0,0,0,0,0
"108",0,34146,0,34058,0,0,0,0,0,0,0,80248,0,52036,0,0,0,42432,0,0,0,0,16030,2402,0,2338,157266,0,0,0,0,10020,0,0,0
"109",0,0,0,2722,0,11346,0,1650,7934,0,0,0,0,0,504,0,0,0,7446,0,0,0,0,0,0,896,0,0,0,0,488,0,0,0,0
